2	1	6.4	3.1	5.5	1.8	
7	1	7.7	2.6	6.9	2.3	
8	1	6.4	2.7	5.3	1.9	
11	1	6.9	3.1	5.1	2.3	
13	1	5.8	2.8	5.1	2.4	
17	1	6.7	3.3	5.7	2.1	
20	1	6.8	3.0	5.5	2.1	
22	1	6.8	2.8	4.8	1.4	
23	1	6.3	3.3	6.0	2.5	
25	1	5.7	2.5	5.0	2.0	
28	1	6.3	2.5	5.0	1.9	
31	1	6.0	3.0	4.8	1.8	
33	1	7.2	3.2	6.0	1.8	
35	1	7.4	2.8	6.1	1.9	
39	1	6.9	3.2	5.7	2.3	
41	1	5.9	3.0	5.1	1.8	
49	1	7.7	2.8	6.7	2.0	
55	1	6.5	2.8	4.6	1.5	
58	1	6.7	3.3	5.7	2.5	
59	1	7.9	3.8	6.4	2.0	
60	1	6.5	3.0	5.2	2.0	
62	1	7.2	3.0	5.8	1.6	
64	1	6.2	3.4	5.4	2.3	
66	1	6.3	3.3	4.7	1.6	
67	1	6.7	3.1	5.6	2.4	
69	1	6.9	3.1	5.4	2.1	
70	1	5.8	2.7	5.1	1.9	
72	1	6.1	2.9	4.7	1.4	
73	1	6.3	2.5	4.9	1.5	
74	1	6.3	2.8	5.1	1.5	
76	1	5.8	2.7	5.1	1.9	
80	1	6.5	3.0	5.8	2.2	
85	1	6.4	2.8	5.6	2.2	
88	1	6.7	3.0	5.0	1.7	
91	1	5.9	3.2	4.8	1.8	
93	1	7.7	3.8	6.7	2.2	
97	1	6.7	2.5	5.8	1.8	
98	1	6.3	2.9	5.6	1.8	
99	1	6.5	3.2	5.1	2.0	
103	1	7.0	3.2	4.7	1.4	
104	1	6.7	3.0	5.2	2.3	
107	1	7.7	3.0	6.1	2.3	
110	1	5.6	2.8	4.9	2.0	
111	1	6.1	3.0	4.9	1.8	
115	1	6.3	3.4	5.6	2.4	
117	1	6.0	2.7	5.1	1.6	
120	1	7.2	3.6	6.1	2.5	
123	1	6.0	2.2	5.0	1.5	
124	1	6.5	3.0	5.5	1.8	
125	1	6.8	3.2	5.9	2.3	
126	1	6.9	3.1	4.9	1.5	
128	1	6.4	2.8	5.6	2.1	
132	1	6.2	2.8	4.8	1.8	
138	1	6.7	3.1	4.7	1.5	
141	1	7.1	3.0	5.9	2.1	
143	1	7.6	3.0	6.6	2.1	
144	1	6.1	2.6	5.6	1.4	
148	1	6.3	2.7	4.9	1.8	
149	1	7.3	2.9	6.3	1.8	
150	1	6.4	3.2	5.3	2.3	
9	2	6.0	2.9	4.5	1.5	
10	2	6.7	3.1	4.4	1.4	
18	2	6.4	3.2	4.5	1.5	
24	2	5.6	2.9	3.6	1.3	
30	2	5.8	2.7	3.9	1.2	
32	2	5.5	2.6	4.4	1.2	
34	2	5.2	2.7	3.9	1.4	
36	2	5.5	2.4	3.8	1.1	
37	2	4.9	2.4	3.3	1.0	
38	2	5.6	3.0	4.5	1.5	
42	2	5.7	3.0	4.2	1.2	
45	2	5.0	2.3	3.3	1.0	
47	2	5.4	3.0	4.5	1.5	
51	2	4.9	2.5	4.5	1.7	
53	2	5.5	2.5	4.0	1.3	
54	2	6.1	2.8	4.0	1.3	
56	2	5.7	2.8	4.1	1.3	
68	2	6.1	3.0	4.6	1.4	
75	2	5.0	2.0	3.5	1.0	
77	2	6.1	2.8	4.7	1.2	
78	2	5.7	2.8	4.5	1.3	
81	2	5.7	2.6	3.5	1.0	
82	2	6.0	2.2	4.0	1.0	
87	2	6.0	3.4	4.5	1.6	
89	2	6.2	2.9	4.3	1.3	
94	2	6.3	2.3	4.4	1.3	
96	2	5.9	3.0	4.2	1.5	
100	2	6.4	2.9	4.3	1.3	
102	2	5.6	2.5	3.9	1.1	
106	2	5.5	2.3	4.0	1.3	
109	2	5.8	2.7	4.1	1.0	
114	2	6.2	2.2	4.5	1.5	
121	2	5.6	2.7	4.2	1.3	
131	2	5.6	3.0	4.1	1.3	
133	2	5.8	2.6	4.0	1.2	
135	2	5.7	2.9	4.2	1.3	
136	2	6.6	3.0	4.4	1.4	
137	2	6.6	2.9	4.6	1.3	
140	2	5.5	2.4	3.7	1.0	
146	2	5.1	2.5	3.0	1.1	
1	3	5.4	3.9	1.7	0.4	
3	3	4.6	3.6	1.0	0.2	
4	3	5.5	4.2	1.4	0.2	
5	3	5.1	3.5	1.4	0.2	
6	3	4.3	3.0	1.1	0.1	
12	3	4.9	3.1	1.5	0.1	
14	3	5.5	3.5	1.3	0.2	
15	3	4.8	3.0	1.4	0.1	
16	3	5.1	3.8	1.5	0.3	
19	3	5.7	4.4	1.5	0.4	
21	3	4.6	3.4	1.4	0.3	
26	3	5.1	3.7	1.5	0.4	
27	3	5.1	3.5	1.4	0.3	
29	3	5.4	3.4	1.5	0.4	
40	3	4.4	3.0	1.3	0.2	
43	3	4.4	3.2	1.3	0.2	
44	3	5.3	3.7	1.5	0.2	
46	3	4.6	3.1	1.5	0.2	
48	3	5.0	3.0	1.6	0.2	
50	3	5.4	3.7	1.5	0.2	
52	3	4.9	3.1	1.5	0.1	
57	3	5.2	3.4	1.4	0.2	
61	3	5.0	3.5	1.3	0.3	
63	3	5.0	3.5	1.6	0.6	
65	3	4.9	3.0	1.4	0.2	
71	3	4.5	2.3	1.3	0.3	
79	3	5.0	3.6	1.4	0.2	
83	3	5.1	3.3	1.7	0.5	
84	3	4.8	3.4	1.6	0.2	
86	3	5.4	3.9	1.3	0.4	
90	3	5.2	3.5	1.5	0.2	
92	3	5.4	3.4	1.7	0.2	
95	3	5.1	3.4	1.5	0.2	
101	3	5.1	3.8	1.9	0.4	
105	3	4.8	3.1	1.6	0.2	
108	3	4.8	3.0	1.4	0.3	
112	3	4.4	2.9	1.4	0.2	
113	3	4.9	3.1	1.5	0.1	
116	3	5.1	3.8	1.6	0.2	
118	3	5.7	3.8	1.7	0.3	
119	3	4.6	3.2	1.4	0.2	
122	3	4.7	3.2	1.3	0.2	
127	3	5.0	3.2	1.2	0.2	
129	3	5.0	3.4	1.6	0.4	
130	3	4.7	3.2	1.6	0.2	
134	3	4.8	3.4	1.9	0.2	
139	3	5.8	4.0	1.2	0.2	
142	3	5.2	4.1	1.5	0.1	
145	3	5.0	3.3	1.4	0.2	
147	3	5.0	3.4	1.5	0.2	
